 Data1   	  Data2    	  Data3    	  Data4    	  Data5
 3144.36 	  1738.57 	  3244.29 	  2050.34 	  1527.11 	
 3714.51 	  2617.38 	  2512.72 	  4192.35 	  1539.54 	
 1608.26 	  3334.87 	  3493.65 	  4004.06 	  2686.87 	
 3379.63 	  2367.33 	  1493.06 	  2330.00 	  1612.85 	
 2537.26 	  3713.75 	  3136.27 	  1831.07 	  1723.43 	
 1315.38 	  1735.80 	  2842.59 	  2401.97 	  1658.87 	
 3323.38 	  1910.62 	  2180.76 	  1835.52 	  3271.03 	
 1424.58 	  2544.24 	  1378.97 	  2926.82 	  3230.53 	
 1276.63 	  2044.79 	  5211.05 	  1723.12 	  1722.55 	
 1373.42 	  4179.57 	  3084.90 	  1766.56 	  1901.19 	
 2777.46 	  1872.72 	  1993.13 	  1655.93 	  1835.65 	
 1302.99 	  1498.92 	  4073.24 	  2037.86 	  2488.38 	
  346.63 	  2363.07 	  3445.60 	  1557.18 	  2411.65 	
 2844.50 	  5660.35 	  2796.12 	  2897.99 	  1750.76 	
 2625.54 	  2049.28 	  2241.01 	  3323.76 	  2504.60 	
 2945.12 	  4071.95 	  2860.84 	  1358.61 	  2623.38 	
 2895.29 	  2358.43 	  1817.46 	  2106.10 	  2362.75 	
 1050.74 	  1556.11 	  1122.72 	  2093.94 	  1642.66 	
 4433.67 	  5077.18 	  2760.47 	  2846.02 	  1888.29 	
 2880.15 	  1787.50 	  2986.75 	  3474.67 	  3286.85 	
 4236.85 	  2629.29 	  2163.86 	  2729.88 	  1590.56 	
 2717.04 	  1025.07 	  2147.81 	  2200.35 	  2413.68 	
 2509.07 	  6114.15 	  2802.23 	  2035.46 	  1952.21 	
 3292.97 	  2304.55 	  3832.27 	  2315.62 	  3030.36 	
 2383.20 	  1003.58 	  1734.98 	  3581.29 	  2073.19 	
 2264.41 	  3958.59 	  3198.15 	  1469.66 	  2320.34 	
 3123.48 	  1871.05 	  5509.13 	  2460.37 	  2138.03 	
 1975.51 	  1185.72 	  1911.65 	  2399.65 	  1595.56 	
 3836.42 	  3226.05 	  1069.37 	  1357.54 	  2586.85 	
 3575.02 	  2282.00 	  2405.16 	  2253.21 	  1952.69 	
 3096.07 	  3572.69 	  2002.13 	  4334.29 	  2159.35 	
 3160.84 	  3526.76 	  1966.67 	  2021.28 	  1672.88 	
 2719.37 	  2192.45 	  3018.25 	  3138.99 	  1888.56 	
 3602.06 	  3005.07 	  2145.15 	  5069.63 	  1810.59 	
 3367.14 	  4367.89 	  2815.39 	  1866.13 	  1753.15 	
  760.81 	  1732.80 	  1622.49 	  4459.95 	  2018.27 	
 2551.60 	  4919.37 	  2390.97 	  5787.20 	  1756.85 	
 1964.78 	  1934.86 	  1212.81 	  3824.57 	  1974.73 	
 1921.09 	  2140.05 	  2283.56 	  1135.01 	  2306.60 	
 2498.01 	  1653.57 	  3074.31 	  3431.86 	  3116.12 	
 3753.73 	  1515.25 	  3585.13 	  1322.85 	  2437.64 	
 1497.01 	  2576.03 	  2194.50 	   966.97 	  1995.87 	
  730.44 	  2089.61 	  1899.87 	  2514.52 	  2682.38 	
 1218.86 	  2259.83 	  2029.08 	  4594.32 	  2860.88 	
 3897.45 	  2495.36 	  1978.72 	  2709.10 	  2960.10 	
 2874.94 	  4111.48 	  2649.58 	  1678.41 	  1743.73 	
 2080.94 	  2045.58 	  2300.55 	  2673.80 	  2116.57 	
 2632.98 	  1731.01 	  1899.92 	  1944.25 	  1569.48 	
 3422.92 	  2130.83 	  2355.31 	  2975.54 	  1795.74 	
 2926.29 	  3250.23 	  2224.38 	  1801.72 	  2877.99 	
 3630.41 	  1623.01 	  1447.42 	  2782.68 	  2509.09 	
 1612.56 	  2766.48 	  4506.52 	  2287.51 	  6361.80 	
 2042.58 	  2205.63 	  3385.31 	  3043.39 	  2300.38 	
 2936.98 	  3169.68 	  1850.54 	  1953.31 	  2483.07 	
 1532.51 	  2868.42 	  1360.60 	  2046.20 	  1834.44 	
 2158.54 	  3122.10 	  1441.45 	  1719.83 	  2177.19 	
 3213.43 	  1919.06 	  1535.77 	  3050.57 	  2337.32 	
 1865.99 	  2195.16 	  1071.55 	  2307.23 	  1889.03 	
 2409.40 	  1141.88 	  3594.39 	  1954.30 	  2833.85 	
 1987.46 	  3396.50 	  2797.31 	  2286.88 	  2974.59 	
